Time,X_pose_uav,Y_pose_uav,Z_pose_uav,R_pose_uav,X_cmd_vel,Y_cmd_vel,Z_cmd_vel,R_cmd_vel
1701197634.6219218,-0.2627479340310472,-0.0662170626308789,-1.1858453298384224,0,0.0,0.0,0.2,0.0
1701197634.6579564,-0.26447373067174934,-0.06755618548024366,-1.1906464793726435,0,0.0,0.0,0.2,0.0
1701197634.6863081,-0.26447373067174934,-0.06755618548024366,-1.1906464793726435,0,0.0,0.0,0.2,0.0
1701197634.7201135,-0.2657778769594892,-0.06690663400996759,-1.196720321492648,0,0.0,0.0,0.2,0.0
1701197634.7721338,-0.26709234190847086,-0.06699269311561874,-1.2042915835556265,0,0.0,0.0,0.2,0.0
1701197634.7896118,-0.26530577576471626,-0.06626926320234373,-1.1987850510020124,0,0.0,0.0,0.2,0.0
1701197634.8192708,-0.26798881363177846,-0.06634461882288344,-1.213125621818499,0,0.0,0.0,0.2,0.0
1701197634.853199,-0.2687341906054149,-0.06425312169220371,-1.2199046746129698,0,0.0,0.0,0.2,0.0
1701197634.8888843,-0.2669003862716596,-0.06061494312697069,-1.210821367210146,0,0.0,0.0,0.2,0.0
1701197634.9213753,-0.2703392343774769,-0.0606601987560863,-1.2336480187544379,0,0.0,0.0,0.2,0.0
1701197634.953975,-0.2682029652999634,-0.06063030711856018,-1.2254496567647186,0,0.0,0.0,0.2,0.0
1701197634.9877155,-0.26778127150133096,-0.06066024495422707,-1.2263765835325986,0,0.0,0.0,0.2,0.0
1701197635.0464873,-0.26513691496131103,-0.060649288998683076,-1.225446046737077,0,0.0,0.0,0.2,0.0
1701197635.0616348,-0.2668906627585022,-0.06004649488440055,-1.2426801321736427,0,0.0,0.0,0.2,0.0
1701197635.0959332,-0.26593818852703016,-0.058462596549811306,-1.2391274528312928,0,0.0,0.0,0.2,0.0
1701197635.1229413,-0.2660690603218676,-0.05693731884128794,-1.2450900059545051,0,0.0,0.0,0.2,0.0
1701197635.1541111,-0.26462639523517656,-0.05548672737559812,-1.245074014183636,0,0.0,0.0,0.2,0.0
1701197635.1890123,-0.26309430310977994,-0.05489209801896409,-1.2411234618704845,0,0.0,0.0,0.2,0.0
1701197635.238819,-0.2631690186482442,-0.05488218139370698,-1.248154110488704,0,0.0,0.0,0.2,0.0
1701197635.258257,-0.2641445484280837,-0.0548848792426609,-1.2569940695243544,0,0.0,0.0,0.2,0.0
1701197635.2876518,-0.26133991351735797,-0.05553323995174748,-1.2462506701634875,0,0.0,0.0,0.2,0.0
1701197635.346453,-0.2638570182060028,-0.0577842574341515,-1.2643414171598775,0,0.0,0.0,0.2,0.0
1701197635.36067,-0.2638701669709284,-0.05926581406909126,-1.2644326145975537,0,0.0,0.0,0.2,0.0
1701197635.3877826,-0.2640984615295756,-0.06078505642391472,-1.2651313424763195,0,0.0,0.0,0.2,0.0
1701197635.4224107,-0.2648753555653435,-0.0622486907219508,-1.265352583623113,0,0.0,0.0,0.2,0.0
1701197635.4599087,-0.2649068432683042,-0.06521526201875552,-1.2655580027056303,0,0.0,0.0,0.2,0.0
1701197635.490524,-0.2658401982991621,-0.06896080986584993,-1.2665774659420936,0,0.0,0.0,0.2,0.0
1701197635.5198698,-0.2682907800352802,-0.07347119228905401,-1.2750137029991881,0,0.0,0.0,0.2,0.0
